Results of simulation
Algorithm, NumPrimaryLinks, NumSecondaryLinks, NumLinksSelected, TimeToExecute(ns)
C Algorithm, 10, 250, 10.0, 18617
T Algorithm, 10, 250, 22.8, 3533345
M Algorithm, 10, 250, 17.825, 10372660
P Algorithm, 10, 250, 17.588, 2230019
C Algorithm, 10, 300, 10.0, 23245
T Algorithm, 10, 300, 22.777, 4250004
M Algorithm, 10, 300, 17.865, 14805709
P Algorithm, 10, 300, 17.521, 2713938
C Algorithm, 10, 350, 10.0, 25289
T Algorithm, 10, 350, 22.835, 4989195
M Algorithm, 10, 350, 17.991, 19975412
P Algorithm, 10, 350, 17.498, 3205783
C Algorithm, 10, 400, 10.0, 29634
T Algorithm, 10, 400, 23.03, 5879535
M Algorithm, 10, 400, 18.257, 25992282
P Algorithm, 10, 400, 17.77, 3788680
C Algorithm, 10, 450, 10.0, 33602
T Algorithm, 10, 450, 23.054, 6668463
M Algorithm, 10, 450, 18.644, 32702543
P Algorithm, 10, 450, 17.797, 4325080
C Algorithm, 10, 500, 10.0, 38516
T Algorithm, 10, 500, 23.164, 7505653
M Algorithm, 10, 500, 18.599, 40251745
P Algorithm, 10, 500, 17.684, 4792670
C Algorithm, 20, 100, 20.0, 15638
T Algorithm, 20, 100, 29.484, 1577170
M Algorithm, 20, 100, 25.184, 2146491
P Algorithm, 20, 100, 25.523, 1056005
C Algorithm, 20, 150, 20.0, 18335
T Algorithm, 20, 150, 29.721, 2443024
M Algorithm, 20, 150, 25.689, 4384985
P Algorithm, 20, 150, 25.642, 1736136
C Algorithm, 20, 200, 20.0, 20937
T Algorithm, 20, 200, 29.759, 3301709
M Algorithm, 20, 200, 25.945, 7397704
P Algorithm, 20, 200, 25.707, 2446820
C Algorithm, 20, 250, 20.0, 22924
T Algorithm, 20, 250, 30.134, 4303653
M Algorithm, 20, 250, 26.3, 11196657
P Algorithm, 20, 250, 25.754, 3161843
C Algorithm, 20, 300, 20.0, 27185
T Algorithm, 20, 300, 30.113, 5135830
M Algorithm, 20, 300, 26.494, 15841319
P Algorithm, 20, 300, 25.668, 3794855
C Algorithm, 20, 350, 20.0, 30511
T Algorithm, 20, 350, 30.312, 6156877
M Algorithm, 20, 350, 26.821, 21082392
P Algorithm, 20, 350, 25.834, 4579606
C Algorithm, 20, 400, 20.0, 34232
T Algorithm, 20, 400, 30.281, 7037526
M Algorithm, 20, 400, 26.917, 27264003
P Algorithm, 20, 400, 25.829, 5308722
C Algorithm, 20, 450, 20.0, 38783
T Algorithm, 20, 450, 30.472, 8084941
M Algorithm, 20, 450, 27.187, 34049334
P Algorithm, 20, 450, 25.962, 6077610
C Algorithm, 20, 500, 20.0, 45063
T Algorithm, 20, 500, 30.409, 8907489
M Algorithm, 20, 500, 27.068, 41749021
P Algorithm, 20, 500, 25.805, 6701712
C Algorithm, 30, 100, 30.0, 18810
T Algorithm, 30, 100, 38.411, 1901376
M Algorithm, 30, 100, 34.651, 2471465
