Results of simulation
numPrimaryLinks, numSecondaryLinks, avgSelected, avgTime, minSelected, maxSelected, minTime, maxTime
1 100 14.979 677273 1 35 13090 12133781
1 100 40.299 535440 27 52 262992 6503702
1 150 17.935 1270441 1 42 14192 4912406
1 150 50.096 610136 28 65 384445 878589
1 200 20.338 2022945 1 50 14115 7998357
1 200 57.922 853666 36 72 550506 1174578
1 250 22.184 2905792 1 54 16424 11335811
1 250 64.836 1122432 39 82 700028 1594960
1 300 23.704 3784878 1 55 19672 13897313
1 300 71.036 1402165 38 91 874449 1925770
1 350 25.594 4931023 1 57 22631 19045582
1 350 76.697 1693262 43 97 1119850 3307848
1 400 27.163 5994155 1 63 26624 28838383
1 400 81.886 2000575 40 107 1316052 3385242
1 450 28.275 7220954 1 65 30610 26436384
1 450 86.572 2307023 47 112 1469467 5393289
1 500 29.771 8566335 1 67 34487 29775116
1 500 90.6 2613537 51 116 1621776 4703994
2 100 8.998 292903 2 34 9295 2997802
2 100 40.236 379796 28 51 247876 1760203
2 150 11.659 642123 2 39 10697 4426165
2 150 49.355 611423 29 62 362399 869527
2 200 12.092 906571 2 47 12179 7745528
2 200 56.692 859679 35 74 542377 2350083
2 250 13.181 1301826 2 52 15261 10652432
2 250 63.028 1116214 35 82 713281 1594116
2 300 13.641 1651083 2 54 17316 13145838
2 300 67.769 1373301 37 88 770836 2180917
2 350 15.721 2368460 2 58 20503 17154715
2 350 73.689 1674139 44 96 1077247 4260601
2 400 15.742 2692416 2 60 23972 21723096
2 400 77.935 1961540 47 104 1271598 4871348
2 450 16.128 3238455 2 65 27506 25580885
2 450 82.048 2277245 48 108 1477537 6441765
2 500 16.083 3433190 2 65 32677 30310518
2 500 85.394 2555852 48 114 1499200 7034280
5 100 6.477 60023 5 30 8139 1783696
5 100 41.421 406627 24 55 245238 1784737
5 150 6.63 84323 5 37 10447 3596956
5 150 49.139 639158 32 63 435852 1451067
5 200 6.859 138434 5 42 12865 6097439
5 200 55.723 882527 32 73 581407 1318085
5 250 6.513 137378 5 49 16145 9080924
5 250 60.045 1134165 36 88 799339 2637725
5 300 7.148 257786 5 48 19514 9676103
5 300 64.89 1400406 38 92 923973 3325784
5 350 7.78 382211 5 52 22249 13043742
5 350 69.497 1678109 44 96 1129767 3763590
5 400 7.603 358042 5 53 28417 14109588
5 400 72.936 1958764 43 100 1149791 5174649
5 450 7.721 473535 5 57 30241 19571874
5 450 76.083 2234811 49 106 1620612 4142368
5 500 7.866 570135 5 65 33669 25152617
5 500 78.994 2524195 52 116 1834916 6439393
10 100 10.124 17577 10 25 11609 591674
10 100 44.955 472888 29 57 307591 1361774
10 150 10.132 23690 10 27 12647 925275
10 150 51.871 712062 34 66 488700 2161340
10 200 10.157 35798 10 35 18749 3247168
10 200 57.61 973203 38 74 659193 1383359
10 250 10.131 39000 10 32 21448 2131568
10 250 62.459 1235323 42 82 876613 2818920
10 300 10.279 60339 10 39 27116 3918626
10 300 66.246 1519257 44 90 1070256 3309298
10 350 10.159 63811 10 41 31984 6447435
10 350 69.117 1782522 43 96 1299917 4988961
10 400 10.148 75282 10 44 37487 8791903
10 400 72.329 2084961 50 99 1559169 4837321
10 450 10.394 118184 10 53 46625 13870990
10 450 75.409 2358134 54 105 1770272 3938359
10 500 10.251 99161 10 37 49611 5770413
10 500 77.989 2666478 57 111 2002617 5899153
20 100 20.001 22481 20 21 17841 41208
20 100 53.664 608390 37 66 405725 948390
20 150 20.0 30062 20 20 21877 63994
20 150 60.624 913758 41 76 658967 8350753
20 200 20.0 39807 20 20 30504 1246187
20 200 65.442 1201655 46 83 863968 2842132
20 250 20.0 47225 20 20 35923 120975
20 250 69.448 1501539 50 87 1156904 3427583
20 300 20.015 57171 20 24 43290 130968
20 300 72.531 1798202 54 94 1400707 4437820
20 350 20.0 69304 20 20 53147 1144018
20 350 76.038 2131824 58 94 1661132 5750748
20 400 20.0 80382 20 20 53978 1510690
20 400 78.606 2437873 58 100 1849997 6017600
20 450 20.005 90842 20 25 69441 266199
20 450 81.013 2761131 61 107 2162566 4359156
20 500 20.002 104127 20 22 79893 271272
20 500 82.545 3081764 61 112 2441049 7638696
30 100 30.0 29538 30 30 25626 49385
30 100 63.18 755550 48 73 549648 1075127
30 150 30.0 38648 30 30 30495 130908
30 150 69.666 1101015 52 85 820703 2714403
30 200 30.0 48291 30 30 39464 78159
30 200 74.097 1436366 55 90 1098226 2530025
30 250 30.0 59277 30 30 46318 155945
30 250 78.208 1789585 59 96 1447367 4442020
30 300 30.0 70219 30 30 56630 172580
30 300 81.306 2127287 64 102 1702590 4899340
30 350 30.0 89314 30 30 66153 5673810
30 350 84.534 2492069 68 107 2028766 4811144
30 400 30.0 94979 30 30 74548 221083
30 400 86.747 2840345 66 110 2199556 6494743
30 450 30.0 110507 30 30 88287 1015102
30 450 89.23 3224532 70 118 2508350 8065657
30 500 30.0 127411 30 30 97400 1820290
30 500 91.128 3584361 73 114 2861751 12007867
