Results of simulation
numPrimaryLinks, numSecondaryLinks, avgSelected, avgTime, minSelected, maxSelected, minTime, maxTime
1 100 19.397 1006212 1 37 13707 14659533
1 100 45.444 641016 32 57 295495 5313299
1 150 22.58 1825057 1 47 14207 8056311
1 150 56.397 734229 39 68 529524 1757556
1 200 25.957 2920469 1 51 14351 9649971
1 200 66.052 1049615 50 80 781244 3265296
1 250 28.758 4265656 1 56 16872 18167526
1 250 74.166 1379292 47 90 983881 4126554
1 300 30.864 5775217 1 60 20310 20071607
1 300 80.774 1703714 52 100 1143355 5296924
1 350 33.228 7439832 1 68 22964 26222028
1 350 87.618 2066082 55 105 1435844 3801520
1 400 34.753 9102459 1 66 27064 31450057
1 400 93.691 2437738 66 116 1746970 4461852
1 450 36.692 10783910 1 69 31097 32345041
1 450 99.342 2825927 63 121 2017698 7209645
1 500 39.08 13116748 1 70 35329 39043217
1 500 104.803 3252683 63 126 2396716 6524210
2 100 13.814 528387 2 37 9460 3018526
2 100 45.573 513310 35 58 327214 1399251
2 150 15.166 951193 2 45 11633 5965747
2 150 56.407 744174 42 68 541754 2227030
2 200 18.453 1730404 2 54 12337 11145841
2 200 65.62 1056963 47 78 741599 2826648
2 250 19.945 2458468 2 54 15454 13115073
2 250 73.331 1389698 44 89 957250 7066032
2 300 20.735 3080971 2 58 18812 16569222
2 300 79.981 1717989 47 100 1201985 3807064
2 350 22.919 4238279 2 62 22102 19933976
2 350 85.712 2056569 40 106 1391185 5460295
2 400 23.409 4929730 2 67 24840 26808563
2 400 91.644 2418196 65 114 1722416 6436833
2 450 25.814 6358474 2 69 28613 33764899
2 450 96.981 2782847 66 120 2044335 4464442
2 500 25.133 6683106 2 71 33656 38107577
2 500 101.805 3152042 69 127 2299911 6002087
5 100 8.806 133695 5 35 8381 2510064
5 100 47.575 498811 35 58 350332 2442034
5 150 9.723 281426 5 45 11446 5575859
5 150 57.779 793663 40 70 575326 1883694
5 200 9.885 359979 5 48 14798 7696511
5 200 65.785 1105174 39 83 645060 4353080
5 250 10.801 580036 5 50 19370 11420835
5 250 72.961 1433048 49 92 989617 6464958
5 300 10.631 667921 5 55 23370 14944754
5 300 79.084 1766033 50 98 1291805 3751654
5 350 11.439 893905 5 63 27752 20663304
5 350 84.377 2100487 63 106 1581672 4284659
5 400 11.583 1120713 5 64 30024 25170293
5 400 89.325 2454597 65 113 1708170 4533298
5 450 12.161 1353927 5 67 29493 30778368
5 450 93.679 2810683 68 117 2154202 4350810
5 500 12.108 1545859 5 65 41475 30338891
5 500 97.554 3190039 62 126 2184672 7436226
10 100 10.861 37170 10 32 12835 1626046
10 100 51.58 575015 35 61 399574 1892205
10 150 11.014 58533 10 41 17264 4342817
10 150 61.651 896903 45 76 641257 2928501
10 200 11.089 72199 10 38 20507 3849986
10 200 69.224 1224409 53 85 901448 3229840
10 250 11.201 116153 10 46 25934 8718193
10 250 75.469 1555507 57 93 1222212 4015644
10 300 11.305 145517 10 49 33736 11599795
10 300 81.189 1912385 62 98 1485229 4528629
10 350 11.505 191442 10 58 36093 15311273
10 350 86.116 2258530 54 105 1611295 5886025
10 400 11.228 169021 10 51 43935 11081211
10 400 90.531 2619453 69 115 2085134 6489255
10 450 11.511 243900 10 61 43516 20190202
10 450 94.662 2987935 74 117 2421351 7835966
10 500 11.756 297855 10 56 58639 19122214
10 500 98.391 3362628 57 122 2671282 7751847
20 100 20.133 27408 20 34 20211 1374004
20 100 60.913 734032 45 69 541761 1001809
20 150 20.098 34980 20 33 25676 1288145
20 150 70.11 1102074 54 86 823075 2801980
20 200 20.089 45152 20 28 31256 1327907
20 200 77.687 1507236 55 90 1030930 2142282
20 250 20.083 52444 20 28 42161 352428
20 250 83.805 1861037 65 99 1437300 4440052
20 300 20.112 63946 20 29 50920 449792
20 300 89.023 2252124 68 112 1751790 5649137
20 350 20.151 88561 20 51 57135 7197717
20 350 93.681 2641986 74 115 2178829 6096973
20 400 20.124 90178 20 37 69760 2124586
20 400 97.805 3034558 80 118 2415931 6651511
20 450 20.093 103035 20 29 75647 1512400
20 450 101.41 3457785 84 130 2835764 10702309
20 500 20.187 133169 20 49 92314 10826629
20 500 104.802 3847527 79 129 3170085 6717064
30 100 30.013 31368 30 34 26778 122776
30 100 70.367 901542 55 82 714703 2575988
30 150 30.031 41668 30 37 34256 266909
30 150 79.804 1333434 61 93 1002691 3551039
30 200 30.008 51792 30 34 43816 126886
30 200 87.025 1764466 71 105 1381205 10278778
30 250 30.018 63729 30 35 52969 254159
30 250 92.82 2184732 76 108 1806906 5057976
30 300 30.014 76297 30 35 61757 265423
30 300 98.289 2624990 59 113 2099014 3527596
30 350 30.034 90486 30 38 72149 682069
30 350 102.613 3063437 82 123 2512358 8107424
30 400 30.012 103603 30 34 82102 263719
30 400 106.649 3513637 85 127 2878793 7708808
30 450 30.014 119766 30 34 98181 1352611
30 450 110.113 3947175 89 129 3247489 8817216
30 500 30.026 136580 30 40 112887 1251721
30 500 113.587 4408585 90 136 3441836 8823461
