Results of simulation
numPrimaryLinks, numSecondaryLinks, avgSelected, avgTime, minSelected, maxSelected, minTime, maxTime
1 100 8.657 269372 1 30 13328 3114262
1 100 26.343 1574021 4 42 133716 12157364
1 150 10.351 480974 1 35 12503 3071557
1 150 30.703 2821420 6 52 266264 9378378
1 200 11.682 778380 1 39 14002 4996885
1 200 34.79 4526677 6 62 342801 10551997
1 250 12.182 1037885 1 43 16816 6456913
1 250 37.175 6244631 6 67 553853 14548259
1 300 13.445 1375555 1 46 20065 8373290
1 300 40.026 8377799 6 73 480126 25939877
1 350 14.544 1772243 1 54 22927 10091476
1 350 42.643 10745136 7 79 701488 33402389
1 400 16.973 2485986 1 51 26915 11984162
1 400 46.296 13569848 7 84 928121 34116463
1 450 17.525 2978768 1 58 30672 15208519
1 450 48.348 16418355 7 89 872566 36944634
1 500 16.841 3167415 1 55 34468 16287961
1 500 47.623 18123012 7 92 1092537 42591133
2 100 5.005 98761 2 28 9397 1365743
2 100 23.314 1325105 6 42 195989 3460534
2 150 5.246 160346 2 33 11671 2548402
2 150 26.24 2429553 6 51 301595 6899781
2 200 5.818 256547 2 39 14043 5503874
2 200 28.669 3763086 6 59 475918 13575953
2 250 6.172 343826 2 42 16471 7554934
2 250 30.493 5144132 7 64 571597 14360191
2 300 6.597 460261 2 46 18530 8055137
2 300 31.123 6468624 7 73 711029 25467908
2 350 6.948 618332 2 48 21449 16950961
2 350 33.065 8299067 7 76 1017265 28531566
2 400 6.78 687358 2 50 25088 13557293
2 400 32.466 9421113 8 81 1010838 29978856
2 450 6.997 777764 2 52 28560 13377540
2 450 33.904 11405857 8 87 1122647 37309888
2 500 7.543 1025916 2 55 32607 16297244
2 500 34.954 13255425 7 91 1522924 42473910
5 100 5.196 15583 5 26 7614 972708
5 100 20.064 1155421 8 45 264952 3658463
5 150 5.158 20077 5 31 10200 1967387
5 150 21.228 1955731 8 52 465121 7277976
5 200 5.196 27250 5 24 13124 1391922
5 200 22.132 2872570 8 59 518701 11475418
5 250 5.2 34737 5 35 15303 3928950
5 250 22.408 3762877 10 67 879549 20252163
5 300 5.276 48043 5 31 18453 2865631
5 300 23.116 4794228 10 70 1163690 19573963
5 350 5.335 66608 5 40 21628 6849611
5 350 22.818 5493722 10 72 1225919 23327010
5 400 5.442 97887 5 55 25108 10819713
5 400 23.241 6526035 10 88 1563890 33151895
5 450 5.301 84559 5 40 28767 13906375
5 450 23.547 7553104 10 85 1835458 33809606
5 500 5.275 91532 5 40 32797 8567048
5 500 22.799 8098488 10 89 1767195 40659084
10 100 10.0 13919 10 10 9484 44912
10 100 21.784 1260361 13 41 405425 3548303
10 150 10.0 19086 10 10 12428 50826
10 150 22.146 2011513 13 49 484963 8406502
10 200 10.0 24559 10 10 16222 61911
10 200 22.371 2792122 14 56 939662 14760575
10 250 10.006 33247 10 16 19360 1216873
10 250 22.594 3575609 14 58 1113733 12327689
10 300 10.0 38233 10 10 22897 120464
10 300 22.94 4432228 14 60 1494136 18277856
10 350 10.0 45160 10 10 24408 150469
10 350 22.785 5208618 15 50 1980931 16171210
10 400 10.0 53427 10 10 28509 140958
10 400 22.948 6011781 15 57 2210227 19695498
10 450 10.0 61837 10 10 35872 156676
10 450 23.005 6840258 15 78 2751019 31009571
10 500 10.008 72701 10 18 36603 1275192
10 500 23.226 7768425 15 81 2987734 35203790
20 100 20.0 20440 20 20 14933 56958
20 100 29.345 1582981 23 50 605780 7485740
20 150 20.0 26942 20 20 21047 71826
20 150 29.584 2476321 23 53 1011011 6557385
20 200 20.0 34966 20 20 24683 1214733
20 200 29.986 3465546 23 44 1298039 8107830
20 250 20.0 41633 20 20 29987 109946
20 250 30.213 4434694 23 54 1937022 13000590
20 300 20.0 59708 20 20 32617 8842668
20 300 30.312 5361909 24 49 2472926 15004340
20 350 20.0 58921 20 20 39807 144777
20 350 30.391 6351525 24 65 3057598 25259114
20 400 20.0 69045 20 20 37516 853369
20 400 30.398 7284972 25 48 3455224 18875600
20 450 20.0 78776 20 20 47730 216813
20 450 30.629 8439166 24 51 4403026 23920231
20 500 20.0 91101 20 20 58491 1357740
20 500 30.565 9291895 25 56 4455807 24158621
30 100 30.0 27834 30 30 21889 1178741
30 100 38.508 1948155 33 50 829388 6124600
30 150 30.0 34093 30 30 25680 94748
30 150 38.729 2983572 33 55 1304318 9593786
30 200 30.0 43534 30 30 29676 1207697
30 200 38.789 4080073 33 51 1953161 9122079
30 250 30.0 50847 30 30 40476 130933
30 250 39.082 5281747 34 51 2838312 15955360
30 300 30.0 68359 30 30 41396 7885618
30 300 39.32 6479555 34 56 3280722 15594344
30 350 30.0 73222 30 30 53440 166813
30 350 39.407 7829226 33 53 3952758 19763950
30 400 30.0 81363 30 30 57599 187917
30 400 39.76 9082075 34 57 4431425 25775777
30 450 30.0 92245 30 30 68578 138117
30 450 39.607 10008730 34 56 5507633 24895398
30 500 30.0 105020 30 30 77723 266414
30 500 39.683 11310079 34 59 5731284 27370198
