Results of simulation
numPrimaryLinks, numSecondaryLinks, avgSelected, avgTime, minSelected, maxSelected, minTime, maxTime
1 100 8.794 332041 1 32 13116 5661092
1 100 27.85 331912 6 41 92368 4811561
1 150 10.581 528929 1 35 12887 3096763
1 150 34.404 392139 7 50 130698 630932
1 200 11.543 822092 1 41 14582 5498069
1 200 39.207 547974 6 59 180807 885415
1 250 11.702 1034584 1 43 16566 6424870
1 250 43.009 705859 8 65 271076 2546689
1 300 14.055 1537136 1 47 19494 8616278
1 300 48.112 871159 8 72 325477 1479413
1 350 15.548 2038627 1 50 22259 11402936
1 350 51.79 1040084 9 78 379850 2299051
1 400 16.717 2606300 1 57 26506 14409172
1 400 54.896 1247074 10 86 484155 2520653
1 450 15.946 2768923 1 54 30163 15738579
1 450 57.733 1439464 10 89 551634 3026497
1 500 16.397 3161808 1 58 33995 23176419
1 500 60.418 1596794 11 96 610392 4852977
2 100 4.668 90167 2 29 7013 1334192
2 100 25.555 222495 7 41 87764 739734
2 150 5.542 177012 2 33 8360 2724567
2 150 30.088 350352 7 51 133005 699345
2 200 6.331 315032 2 38 10901 5650006
2 200 34.231 489557 7 61 185642 1338715
2 250 6.249 377519 2 42 13868 6504421
2 250 37.625 641712 7 68 264380 1383297
2 300 6.848 536728 2 46 17261 7560498
2 300 40.525 791055 8 74 314489 3150610
2 350 6.914 610536 2 48 20400 9860151
2 350 42.888 958791 8 79 410908 1626696
2 400 7.011 734614 2 52 25073 13736544
2 400 45.715 1129998 9 85 449766 2060694
2 450 7.289 926025 2 53 28798 13937082
2 450 46.489 1289317 9 89 557552 3904720
2 500 7.735 1137458 2 56 33219 17662871
2 500 47.977 1460450 9 95 637781 2536457
5 100 5.136 15027 5 24 7954 1079000
5 100 22.879 217291 9 44 101879 415915
5 150 5.232 27791 5 32 10192 2256585
5 150 25.8 339765 8 55 161546 712478
5 200 5.134 25523 5 28 13153 1725068
5 200 27.038 455265 9 60 230287 1686978
5 250 5.263 39702 5 29 15926 2868336
5 250 28.886 584132 9 64 288241 1192726
5 300 5.24 47586 5 29 19405 2814810
5 300 30.603 738204 10 74 385270 1753751
5 350 5.198 57881 5 41 22650 6218109
5 350 31.049 846314 12 75 447967 2399679
5 400 5.186 63437 5 41 26349 8080849
5 400 32.973 1036619 12 80 564696 3376808
5 450 5.24 77115 5 41 29431 6193123
5 450 33.673 1147358 11 84 624309 3046939
5 500 5.305 91424 5 38 33588 7376639
5 500 34.676 1304782 11 89 686109 3923514
10 100 10.0 14684 10 10 9583 32843
10 100 23.717 250951 14 45 152328 460186
10 150 10.0 20034 10 10 12454 42725
10 150 24.776 367630 13 51 220960 679812
10 200 10.004 25637 10 14 14232 85327
10 200 26.271 489644 14 55 316607 1013686
10 250 10.0 32665 10 10 17971 58861
10 250 26.889 621911 15 60 398236 1178852
10 300 10.007 41378 10 17 21689 269394
10 300 27.735 763349 15 70 479915 1966089
10 350 10.0 49289 10 10 27027 109784
10 350 28.805 894938 16 71 560075 1773390
10 400 10.0 58104 10 10 30308 151197
10 400 29.161 1045944 16 72 656652 3335629
10 450 10.0 68875 10 10 40434 681277
10 450 30.074 1212054 14 74 778355 2145516
10 500 10.0 80237 10 10 43026 815507
10 500 30.235 1374327 16 82 924408 4220499
20 100 20.0 21284 20 20 16900 47719
20 100 30.821 340398 23 46 222983 543151
20 150 20.0 28538 20 20 20045 49261
20 150 31.538 495173 23 57 349032 994849
20 200 20.0 35827 20 20 24757 67797
20 200 32.23 658095 24 56 467091 978364
20 250 20.0 44704 20 20 29025 74824
20 250 32.964 829678 24 54 622566 1193533
20 300 20.0 53316 20 20 35910 84688
20 300 33.645 992293 24 60 744911 1640004
20 350 20.0 64561 20 20 45616 111077
20 350 33.711 1183100 25 67 896075 2157506
20 400 20.0 81314 20 20 44004 246095
20 400 34.094 1382988 24 63 1008969 3257609
20 450 20.0 90819 20 20 57610 225984
20 450 34.632 1549873 25 69 1143711 3420990
20 500 20.0 100126 20 20 60353 245877
20 500 34.968 1723618 25 75 1275903 4289189
30 100 30.0 27168 30 30 21702 69396
30 100 39.632 428990 33 54 318677 1625341
30 150 30.0 35767 30 30 24583 921185
30 150 40.376 621555 32 55 460977 1517571
30 200 30.0 43857 30 30 30942 80847
30 200 41.029 822150 33 58 616412 1769277
30 250 30.0 57224 30 30 38677 1249658
30 250 41.344 1041397 33 74 810576 2520048
30 300 30.0 68793 30 30 47764 2475782
30 300 41.454 1260222 34 61 980190 2866068
30 350 30.0 80021 30 30 55355 4335910
30 350 42.154 1460731 35 68 1134768 2535033
30 400 30.0 90837 30 30 54282 2825189
30 400 42.424 1698339 35 60 1339168 7316776
30 450 30.0 101183 30 30 79692 143099
30 450 42.772 1919849 35 68 1495967 2920386
30 500 30.0 120302 30 30 81016 3622881
30 500 42.939 2175474 34 67 1691154 4712866
