Results of simulation
numPrimaryLinks, numSecondaryLinks, avgSelected, avgTime, minSelected, maxSelected, minTime, maxTime
1 100 9.971 375822 1 31 13137 9842080
1 100 31.682 327915 11 44 124043 3853707
1 150 12.532 699682 1 37 12287 4470600
1 150 39.122 443626 12 55 220223 1196546
1 200 13.877 1064001 1 42 13969 5369591
1 200 45.135 621036 13 64 263162 1306872
1 250 15.41 1510165 1 49 16353 10903023
1 250 49.905 808120 16 73 356380 2841424
1 300 15.372 1899222 1 48 19307 11773872
1 300 53.846 992925 19 80 448752 2044414
1 350 17.936 2555883 1 50 22703 13626072
1 350 58.904 1207454 18 85 554947 3048618
1 400 18.679 3195101 1 57 26639 15474475
1 400 62.602 1431912 19 92 624323 3514133
1 450 19.852 3891365 1 58 29839 18750723
1 450 67.235 1658462 20 96 771496 3046314
1 500 20.08 4348574 1 60 33788 20865098
1 500 68.883 1854023 21 104 897998 4896501
2 100 6.147 155756 2 30 7248 1799789
2 100 30.535 264497 10 45 122089 487377
2 150 6.354 241236 2 35 8483 3589042
2 150 36.389 431908 12 54 189076 5517318
2 200 7.279 403557 2 41 11565 5767730
2 200 41.324 592978 13 64 250554 1915219
2 250 7.953 580468 2 47 14516 7849887
2 250 45.23 771142 16 70 370069 2152329
2 300 7.547 655306 2 49 17954 9170098
2 300 48.067 948591 16 79 456282 8611271
2 350 8.467 858743 2 52 21148 10890620
2 350 52.064 1148257 17 82 579850 2849470
2 400 8.194 1004515 2 52 25091 12984007
2 400 54.658 1338705 19 87 712920 5143599
2 450 7.98 1103872 2 56 28411 16898914
2 450 56.459 1519648 17 95 789123 3679769
2 500 9.371 1512374 2 56 32472 23012775
2 500 59.423 1737352 20 100 902815 4688548
5 100 5.334 19051 5 26 7089 1120343
5 100 29.43 280979 13 44 153330 572899
5 150 5.443 31010 5 35 9518 2791077
5 150 32.76 417976 15 59 236579 769012
5 200 5.296 34351 5 29 12174 3217111
5 200 35.901 574818 17 62 326865 2316347
5 250 5.504 65513 5 38 15008 5140950
5 250 38.32 728298 17 70 408441 1982206
5 300 5.289 54541 5 40 18302 6399530
5 300 40.607 900791 18 75 518296 2822227
5 350 5.417 77769 5 43 21814 8943877
5 350 42.772 1094395 20 79 632532 2286654
5 400 5.528 123493 5 49 25539 13247799
5 400 44.148 1292333 20 87 743420 6441603
5 450 5.493 124943 5 46 30297 11474699
5 450 45.845 1456871 18 93 870903 4092536
5 500 5.599 174006 5 50 33815 15843813
5 500 47.641 1626677 21 97 1023277 4134789
10 100 10.006 14565 10 14 9167 46020
10 100 30.934 319287 17 50 201976 900642
10 150 10.008 20785 10 16 12531 198312
10 150 33.785 486283 16 56 332746 759556
10 200 10.01 26994 10 16 14213 145532
10 200 35.727 651665 20 68 425905 2215774
10 250 10.011 34285 10 21 19764 699075
10 250 37.751 805787 22 69 530279 1311532
10 300 10.004 40888 10 13 20336 98717
10 300 38.925 977389 23 73 665410 2820672
10 350 10.006 48411 10 15 27319 130039
10 350 39.939 1137292 25 81 728812 1838566
10 400 10.02 61767 10 26 32936 1115635
10 400 41.472 1351749 23 84 827897 2675391
10 450 10.008 68531 10 14 37777 169503
10 450 42.375 1535288 26 86 1090892 3347704
10 500 10.0 78601 10 10 43068 751090
10 500 43.015 1714116 24 92 1122889 2914205
20 100 20.0 21292 20 20 17297 43240
20 100 38.889 426081 28 53 297972 606632
20 150 20.0 28581 20 20 20402 72559
20 150 40.719 619306 27 63 436204 1697301
20 200 20.0 35530 20 20 26363 65615
20 200 42.324 803817 30 62 603028 1248969
20 250 20.0 44018 20 20 27893 69061
20 250 43.64 1004938 32 68 766143 2029604
20 300 20.0 53623 20 20 38697 133699
20 300 44.697 1219410 32 76 894871 2438078
20 350 20.0 65271 20 20 37791 155231
20 350 45.438 1450750 33 79 1082195 3598895
20 400 20.0 75606 20 20 47731 108441
20 400 46.588 1679350 32 78 1258867 2529831
20 450 20.0 87693 20 20 50858 157929
20 450 47.268 1896553 33 81 1477978 2783551
20 500 20.0 104311 20 20 67537 1107195
20 500 47.829 2137657 32 93 1649669 3784901
30 100 30.0 28698 30 30 22520 62147
30 100 47.623 564432 37 61 393198 6535272
30 150 30.0 36387 30 30 28761 61305
30 150 49.749 783474 38 64 570820 1143266
30 200 30.0 45004 30 30 34801 95989
30 200 51.045 1010932 41 67 765450 2233573
30 250 30.0 54315 30 30 42013 171929
30 250 52.142 1243425 39 75 964463 3115896
30 300 30.0 65031 30 30 48697 162837
30 300 53.074 1493565 41 72 1126585 3854735
30 350 30.0 76616 30 30 58934 128522
30 350 53.791 1755524 42 75 1339138 5420745
30 400 30.0 90459 30 30 69643 220154
30 400 54.977 2052967 44 76 1607836 8467343
30 450 30.0 104001 30 30 73368 252515
30 450 55.618 2618469 43 79 1773869 10011952
30 500 30.0 116725 30 30 79105 292278
30 500 56.161 2562085 45 79 2045354 6445326
