Results of simulation
numPrimaryLinks, numSecondaryLinks, avgSelected, avgTime, minSelected, maxSelected, minTime, maxTime
1 100 25.403 1496139 4 42 17532 23559030
1 100 51.763 699692 42 65 414185 5494531
1 150 30.729 2874739 4 47 18066 7297952
1 150 64.953 903762 42 76 655407 2421736
1 200 35.185 4743696 5 54 24182 14205477
1 200 75.724 1283207 37 88 734932 2742461
1 250 38.38 6779560 5 61 25289 17169473
1 250 85.022 1683584 66 100 1232390 2910343
1 300 40.644 8863100 3 66 25456 25228315
1 300 93.125 2103797 43 108 1531921 3367263
1 350 43.73 11508692 5 68 38272 27210156
1 350 100.667 2540306 59 120 1597057 4204025
1 400 46.051 13977426 5 71 44850 31770939
1 400 107.788 3031717 62 125 2120076 7095528
1 450 47.48 16409950 5 75 46892 46791214
1 450 113.593 3438600 61 132 2268924 6021469
1 500 50.098 19884014 5 78 48125 50510201
1 500 119.614 3902193 62 139 2368708 4937914
2 100 21.823 1033018 2 41 10649 5753214
2 100 52.259 555243 33 62 385520 1398155
2 150 24.737 1901597 2 48 13771 10396871
2 150 65.157 916399 50 76 633463 2364410
2 200 28.794 3150812 2 56 18002 13152204
2 200 76.163 1303374 41 95 993666 2996177
2 250 31.592 4627868 3 59 20576 16061102
2 250 85.123 1704562 67 101 1325277 3801301
2 300 32.407 5702517 3 64 24551 28598002
2 300 92.997 2118101 76 111 1692509 5365862
2 350 36.043 7764518 4 68 29872 27518932
2 350 100.468 2570149 62 121 1909883 6175776
2 400 36.62 9007227 4 74 38479 36330867
2 400 106.581 2992506 60 127 2078087 6030122
2 450 38.739 10856121 5 77 40774 42811430
2 450 113.395 3454952 74 135 2818424 4776299
2 500 40.394 12938560 5 78 52934 46853067
2 500 118.85 3925908 59 138 2556492 4845385
5 100 16.914 465884 5 40 11166 3477832
5 100 54.711 600927 45 64 457569 838942
5 150 19.31 889938 5 51 15674 8590558
5 150 67.322 973259 47 79 752367 2399536
5 200 20.422 1264168 6 56 23196 11443242
5 200 77.235 1361558 56 91 1043434 1888848
5 250 21.914 1748626 6 61 28063 17846258
5 250 85.937 1774792 71 105 1393926 5154199
5 300 23.46 2306938 7 61 40069 20974089
5 300 93.356 2191928 52 110 1590985 4822378
5 350 24.933 3026089 6 68 48769 27715288
5 350 100.422 2634942 67 119 1946362 6021560
5 400 26.408 3842989 7 67 52572 29170486
5 400 106.994 3109633 66 125 2434287 6444839
5 450 27.341 4649744 7 75 70057 48323663
5 450 112.969 3561283 77 131 2623830 8768690
5 500 28.002 5103472 7 74 72007 45397210
5 500 117.965 4007240 66 139 2955443 8735532
10 100 17.322 239260 10 40 14639 2849192
10 100 58.983 685999 48 69 521618 1851984
10 150 18.67 404403 10 48 21541 6749032
10 150 71.44 1085647 58 82 840813 1802926
10 200 19.862 618896 10 52 30432 10262223
10 200 81.404 1502753 54 95 1190700 3331740
10 250 20.739 862446 11 63 39005 17592121
10 250 89.972 1940758 69 111 1511249 5015180
10 300 21.078 999143 11 58 49508 18085396
10 300 96.974 2373995 79 116 1826640 5803841
10 350 22.192 1375719 12 61 64620 22277662
10 350 104.099 2835547 77 123 2213540 4067641
10 400 23.133 1786311 12 63 77574 23468959
10 400 110.079 3289760 91 132 2697010 4301949
10 450 23.213 1859332 13 71 95787 33193988
10 450 115.066 3764311 46 135 2784787 9346478
10 500 23.738 2068123 13 67 92970 31690846
10 500 120.487 4260213 84 139 3347603 10357124
20 100 24.64 150978 20 46 22722 5563879
20 100 68.819 869066 59 79 701395 1184550
20 150 25.454 223925 20 51 31796 6146422
20 150 80.844 1325404 69 94 1062974 2469248
20 200 25.963 316233 20 51 40947 7574635
20 200 90.515 1798196 76 105 1460962 3123875
20 250 26.458 408249 21 57 55110 13073384
20 250 98.756 2281990 79 114 1735931 4318348
20 300 26.977 501574 21 56 66551 12534651
20 300 105.863 2765128 78 122 2034306 6470912
20 350 26.937 543920 22 60 86746 16313599
20 350 112.466 3264632 83 132 2661632 6050916
20 400 27.468 672483 22 61 105263 18949551
20 400 118.158 3765875 79 134 3025501 7353671
20 450 27.871 811326 22 65 121447 23120357
20 450 123.4 4280467 93 139 3441622 10303920
20 500 27.964 900833 22 65 127482 24096372
20 500 128.034 4803132 59 146 3425860 11428820
30 100 33.811 135752 30 49 28969 1747307
30 100 78.337 1051527 67 88 843078 1342370
30 150 34.179 184597 30 49 40914 6743854
30 150 90.054 1573568 77 101 1262989 10499470
30 200 34.653 249104 30 52 54207 5380872
30 200 99.838 2106351 79 116 1723886 4899656
30 250 35.067 303229 30 57 65593 6139762
30 250 108.21 2636573 77 122 2086836 3586954
30 300 35.562 395201 30 60 79048 9549330
30 300 115.152 3184246 90 131 2668061 7838253
30 350 35.79 463915 31 60 120558 9932467
30 350 121.942 3741179 92 137 3067281 9423047
30 400 36.124 566781 31 64 115000 13950411
30 400 127.371 4296778 103 143 3654238 13816385
30 450 36.326 627947 32 60 157507 13613274
30 450 132.351 4832915 88 150 3963584 8100435
30 500 36.301 646237 32 64 170956 18109529
30 500 137.769 5409695 105 156 4601771 7218910
